journal_diameter_mm,ligament_mm,station_above_U_mm,support_span_mm,bearing_width_mm,max_Kt_checked,full_Kt_coverage,ROBUST_WITHIN_SCREEN,worst_MS_ultimate_strength,worst_strength_Kt,worst_strength_case,worst_MS_ultimate_bearing,ultimate_bearing_pressure_MPa
28.0,10.0,522.780356685791,180.0,25.0,3.0,True,False,-0.20664636813736992,3.0,LC5,2.0336068885275504,136.36751655416234
28.0,10.0,522.780356685791,180.0,30.0,3.0,True,False,-0.30501543336800685,3.0,LC5,2.6403282662330607,113.63959712846861
28.0,15.0,527.780356685791,120.0,20.0,3.0,True,False,-0.36590205775890194,3.0,LC5,0.6595195084773928,249.28024978124995
28.0,15.0,527.780356685791,120.0,25.0,3.0,True,False,-0.4559152908748153,3.0,LC5,1.0743993855967409,199.42419982499996
28.0,15.0,527.780356685791,120.0,30.0,3.0,True,False,-0.5235496893263276,3.0,LC5,1.4892792627160896,166.18683318749996
28.0,15.0,527.780356685791,150.0,20.0,3.0,True,False,-0.22029175217839025,3.0,LC5,1.044082311220928,202.38198594997272
28.0,15.0,527.780356685791,150.0,25.0,3.0,True,False,-0.3308132889156554,3.0,LC5,1.55510288902616,161.90558875997817
28.0,15.0,527.780356685791,150.0,30.0,3.0,True,False,-0.41389244999971875,3.0,LC5,2.066123466831392,134.9213239666485
28.0,15.0,527.780356685791,180.0,20.0,3.0,True,False,-0.07935193764775861,3.0,LC5,1.4175618244224628,171.11679768062515
28.0,15.0,527.780356685791,180.0,25.0,3.0,True,False,-0.20966633359055242,3.0,LC5,2.0219522805280787,136.89343814450012
28.0,15.0,527.780356685791,180.0,30.0,3.0,True,False,-0.30766398661660166,3.0,LC5,2.626342736633694,114.07786512041677
28.0,20.0,532.780356685791,120.0,20.0,3.0,True,False,-0.36838166100728353,3.0,LC5,0.6529821164410619,250.26613021124712
28.0,20.0,532.780356685791,120.0,25.0,3.0,True,False,-0.45804513368502786,3.0,LC5,1.0662276455513275,200.21290416899768
28.0,20.0,532.780356685791,120.0,30.0,3.0,True,False,-0.5254162424003055,3.0,LC5,1.4794731746615928,166.8440868074981
28.0,20.0,532.780356685791,150.0,20.0,3.0,True,False,-0.22329166521628518,3.0,LC5,1.0361461807929593,203.17079465728511
28.0,20.0,532.780356685791,150.0,25.0,3.0,True,False,-0.3333912932969544,3.0,LC5,1.5451827259911988,162.5366357258281
28.0,20.0,532.780356685791,150.0,30.0,3.0,True,False,-0.4161525829523618,3.0,LC5,2.0542192711894387,135.44719643819008
28.0,20.0,532.780356685791,180.0,20.0,3.0,True,False,-0.08283797494138778,3.0,LC5,1.4083091976262216,171.774221515184
28.0,20.0,532.780356685791,180.0,25.0,3.0,True,False,-0.21266349396007145,3.0,LC5,2.010386497032777,137.4193772121472
28.0,20.0,532.780356685791,180.0,30.0,3.0,True,False,-0.3102925164992779,3.0,LC5,2.612463796439333,114.51614767678932
30.0,5.0,518.780356685791,120.0,20.0,3.0,True,False,-0.2149528622864274,3.0,LC5,0.7908044062338866,231.00537174804816
30.0,5.0,518.780356685791,120.0,25.0,3.0,True,False,-0.32633839533064124,3.0,LC5,1.2385055077923584,184.80429739843854
30.0,5.0,518.780356685791,120.0,30.0,3.0,True,False,-0.41004368561651006,3.0,LC5,1.68620660935083,154.00358116536543
30.0,5.0,518.780356685791,150.0,20.0,3.0,True,False,-0.034907753718679047,3.0,LC5,1.2055610384781583,187.56471953074825
30.0,5.0,518.780356685791,150.0,25.0,3.0,True,False,-0.17162306485422074,3.0,LC5,1.756951298097698,150.0517756245986
30.0,5.0,518.780356685791,150.0,30.0,3.0,True,False,-0.27441035258301005,3.0,LC5,2.3083415577172377,125.04314635383217
30.0,5.0,518.780356685791,180.0,20.0,3.0,True,True,0.13928123112190893,3.0,LC5,1.6082816130704782,158.60459066883874
30.0,5.0,518.780356685791,180.0,25.0,3.0,True,False,-0.021863254670460797,3.0,LC5,2.2603520163380977,126.883672535071
30.0,5.0,518.780356685791,180.0,30.0,3.0,True,False,-0.14307074911678952,3.0,LC5,2.912422419605717,105.73639377922584
30.0,10.0,523.780356685791,120.0,20.0,3.0,True,False,-0.2180426720234223,3.0,LC5,0.7836999272211529,231.92546642897892
30.0,10.0,523.780356685791,120.0,25.0,3.0,True,False,-0.32899280962927335,3.0,LC5,1.229624909026441,185.54037314318313
30.0,10.0,523.780356685791,120.0,30.0,3.0,True,False,-0.4123702512744565,3.0,LC5,1.675549890831729,154.6169776193193
30.0,10.0,523.780356685791,150.0,20.0,3.0,True,False,-0.03864416461078768,3.0,LC5,1.1969382465838039,188.3008947717918
30.0,10.0,523.780356685791,150.0,25.0,3.0,True,False,-0.17483463501990815,3.0,LC5,1.7461728082297547,150.64071581743343
30.0,10.0,523.780356685791,150.0,30.0,3.0,True,False,-0.27722635975010923,3.0,LC5,2.295407369875706,125.53392984786119
