ligament_mm,support_span_mm,bearing_width_mm,Kt_bending,minimum_passing_diameter_mm,station_above_U_mm,ultimate_vm_MPa,MS_ultimate_strength,ultimate_bearing_pressure_MPa,MS_ultimate_bearing,status
15.0,180.0,25.0,3.0,32.0,529.780356685791,1582.785849786236,0.17640677685580353,119.96583522485193,2.448360417069836,PASS
15.0,180.0,30.0,1.0,24.0,525.780356685791,1439.3905733615736,0.29360302509933645,132.8863155275736,2.1130777909502867,PASS
15.0,180.0,30.0,1.5,26.0,526.780356685791,1689.8171438125737,0.1018943717182006,122.75868807084329,2.3699076138005504,PASS
15.0,180.0,30.0,2.0,28.0,527.780356685791,1800.1693164495018,0.03434714889622037,114.07786512041677,2.626342736633694,PASS
15.0,180.0,30.0,2.5,30.0,528.780356685791,1827.7558363187393,0.01873563361188957,106.55448577377786,2.882384064697031,PASS
15.0,180.0,30.0,3.0,32.0,529.780356685791,1806.5337678899427,0.0307031250098595,99.97152935404327,3.1380325004838037,PASS
20.0,120.0,20.0,1.0,24.0,530.780356685791,1575.9690606979864,0.18149527578627245,291.5170694024161,0.41907792376659025,PASS
20.0,120.0,20.0,1.5,26.0,531.780356685791,1851.1108542435877,0.0058824925214227,269.3050244593235,0.536122240647559,PASS
20.0,120.0,20.0,2.0,30.0,533.780356685791,1606.2429990437656,0.15922684245689633,233.76575651605924,0.7696579847942027,PASS
20.0,120.0,20.0,2.5,32.0,534.780356685791,1652.8218764843161,0.1265581769528743,219.3279307671733,0.8861502780019739,PASS
20.0,120.0,20.0,3.0,34.0,535.780356685791,1652.9525007580098,0.12646915089582156,206.58867391250226,1.002459427012501,PASS
20.0,120.0,25.0,1.0,24.0,530.780356685791,1833.726741759418,0.015418468628239701,233.21365552193285,0.773847404708238,PASS
20.0,120.0,25.0,1.5,28.0,532.780356685791,1728.6636667391458,0.07713260585407711,200.21290416899768,1.0662276455513275,PASS
20.0,120.0,25.0,2.0,32.0,534.780356685791,1543.737112922714,0.20616391509479737,175.46234461373865,1.3576878475024672,PASS
20.0,120.0,25.0,2.5,34.0,535.780356685791,1607.444391913755,0.15836044429703833,165.2709391300018,1.503074283765626,PASS
20.0,120.0,25.0,3.0,36.0,536.780356685791,1624.4961993588133,0.14620151203488763,156.21191290701148,1.6482323267903185,PASS
20.0,120.0,30.0,1.0,26.0,531.780356685791,1648.2174774758473,0.12970528795238145,179.53668297288235,1.3041833609713378,PASS
20.0,120.0,30.0,1.5,30.0,533.780356685791,1606.2429990437656,0.15922684245689633,155.84383767737282,1.6544869771913042,PASS
20.0,120.0,30.0,2.0,32.0,534.780356685791,1761.906640045918,0.05680968428126998,146.21862051144888,1.8292254170029607,PASS
20.0,120.0,30.0,2.5,34.0,535.780356685791,1834.984936135031,0.014722226506049596,137.72578260833484,2.003689140518751,PASS
20.0,120.0,30.0,3.0,36.0,536.780356685791,1854.6989596272535,0.0039365096609607075,130.17659408917623,2.177878792148382,PASS
20.0,150.0,20.0,1.0,22.0,529.780356685791,1663.7857455086266,0.11913448292633277,257.97864420988145,0.6035646627150391,PASS
20.0,150.0,20.0,1.5,26.0,531.780356685791,1507.5015772738689,0.23515625328047607,218.62941772059037,0.8921764596143871,PASS
20.0,150.0,20.0,2.0,28.0,532.780356685791,1605.403144974188,0.15983328289165488,203.17079465728511,1.0361461807929593,PASS
20.0,150.0,20.0,2.5,30.0,533.780356685791,1629.6766938834758,0.14255791163270803,189.77332234615614,1.1798924763277236,PASS
20.0,150.0,20.0,3.0,32.0,534.780356685791,1610.5417037842058,0.15613274442068525,178.05053501896714,1.3234158636256446,PASS
20.0,150.0,25.0,1.0,24.0,530.780356685791,1494.2243746782513,0.2461314589389838,189.33158338165012,1.184978492237105,PASS
20.0,150.0,25.0,1.5,26.0,531.780356685791,1754.573429597193,0.06122660276889613,174.9035341764723,1.3652205745179837,PASS
20.0,150.0,25.0,2.0,30.0,533.780356685791,1522.2869611959652,0.22315965876574517,151.8186578769249,1.7248655954096548,PASS
20.0,150.0,25.0,2.5,32.0,534.780356685791,1566.2641682085416,0.1888160616798853,142.44042801517372,1.9042698295320557,PASS
20.0,150.0,25.0,3.0,34.0,535.780356685791,1566.2703394204111,0.18881137766359157,134.16552002354098,2.083396073130529,PASS
20.0,150.0,30.0,1.0,24.0,530.780356685791,1703.4817175852302,0.09305546445163926,157.77631948470844,1.6219741906845262,PASS
20.0,150.0,30.0,1.5,28.0,532.780356685791,1605.403144974188,0.15983328289165488,135.44719643819008,2.0542192711894387,PASS
20.0,150.0,30.0,2.0,30.0,533.780356685791,1737.0664265709866,0.07192216228347448,126.51554823077075,2.2698387144915855,PASS
20.0,150.0,30.0,2.5,32.0,534.780356685791,1787.6518460868635,0.0415898398090675,118.70035667931143,2.485123795438467,PASS
