span_mm,bearing_width_mm,journal_diameter_mm,limit_governing_case,limit_governing_side,limit_radial_reaction_kN,limit_vm_MPa,MS_limit_yield,ultimate_governing_case,ultimate_governing_side,ultimate_radial_reaction_kN,ultimate_vm_MPa,MS_ultimate,ultimate_bearing_case,ultimate_bearing_pressure_MPa,MS_ultimate_bearing,ultimate_tau_transverse_MPa,MS_ultimate_shear,root_lever_mm,PASS
150.0,30.0,36.0,LC5,LEFT,44.568073723997365,203.3195434846558,6.4611617456955655,LC5,LEFT,66.85211058599603,304.97931522698366,5.10533208986383,LC5,61.90010239444077,5.683113946306729,87.57073132417527,11.276090252706448,20.0,True
150.0,30.0,38.0,LC5,LEFT,44.568073723997365,173.28826113692008,7.754199448059406,LC5,LEFT,66.85211058599603,259.9323917053801,6.163401174373376,LC5,58.64220226841758,6.05439805443488,78.5953378089551,12.677989448231566,20.0,True
150.0,30.0,40.0,LC5,LEFT,44.568073723997365,148.9260985842196,9.186260262113274,LC5,LEFT,66.85211058599603,223.3891478763294,7.335230326545778,LC5,55.710092154996694,6.425682162563032,70.93229237258195,14.155666978649938,20.0,True
180.0,20.0,22.0,LC5,LEFT,38.05289483022343,569.3669558483664,1.6643625598883665,LC5,LEFT,57.07934224533513,854.0504337725495,1.1801991151448643,LC5,129.72577783030712,2.188922390823812,200.20847309706076,4.369533989252853,15.0,True
180.0,20.0,24.0,LC5,LEFT,38.05289483022343,440.19214338529963,2.4462223435736603,LC5,LEFT,57.07934224533513,660.2882150779493,1.8199806652314465,LC5,118.9152963444482,2.478824426353249,168.2307308662802,5.390189210350504,15.0,True
180.0,20.0,26.0,LC5,LEFT,38.05289483022343,347.5087070120256,3.3653582468294934,LC5,LEFT,57.07934224533513,521.2630605180383,2.5720927513058744,LC5,109.76796585641371,2.768726461882687,143.34452807541032,6.499597059369689,15.0,True
180.0,20.0,28.0,LC5,LEFT,38.05289483022343,279.2642984114585,4.432130095501516,LC5,LEFT,57.07934224533513,418.8964476171878,3.4450126292348155,LC5,101.92739686666988,3.0586284974121245,123.59808798338949,7.6977575363104105,15.0,True
180.0,20.0,30.0,LC5,LEFT,38.05289483022343,227.8891378893821,5.656745530084699,LC5,LEFT,57.07934224533513,341.8337068340731,4.447093024398027,LC5,95.13223707555855,3.348530532941562,107.66766775441931,8.984670641172663,15.0,True
180.0,20.0,32.0,LC5,LEFT,38.05289483022343,188.4644643340544,7.049262789992644,LC5,LEFT,57.07934224533513,282.69669650108153,5.58656441000497,LC5,89.18647225833614,3.638432568470999,94.6297861122826,10.360336373956452,15.0,True
180.0,20.0,34.0,LC5,LEFT,38.05289483022343,157.69897240950718,8.619593436923022,LC5,LEFT,57.07934224533513,236.54845861426082,6.87153723557489,LC5,83.94020918431637,3.9283346040004368,83.82430880534375,11.824754734661777,15.0,True
180.0,20.0,36.0,LC5,LEFT,38.05289483022343,133.33327451706646,10.377505018867787,LC5,LEFT,57.07934224533513,199.99991177559966,8.310004106847648,LC5,79.27686422963212,4.2182366395298745,74.76921371834676,13.377925723288632,15.0,True
180.0,20.0,38.0,LC5,LEFT,38.05289483022343,113.78105591473302,12.33262367627202,LC5,LEFT,57.07934224533513,170.67158387209952,9.909841918355747,LC5,75.10439769123043,4.508138675059312,67.105887104555,15.019849339837023,15.0,True
180.0,20.0,40.0,LC5,LEFT,38.05289483022343,97.90610850684699,14.494436691801612,LC5,LEFT,57.07934224533513,146.85916276027046,11.678813939852606,LC5,71.34917780666892,4.798040710588748,60.56306311186087,16.750525584306956,15.0,True
180.0,25.0,22.0,LC5,LEFT,38.05289483022343,660.3708072561215,1.297194217750512,LC5,LEFT,57.07934224533513,990.556210884182,0.879751981301452,LC5,103.7806222642457,2.986152988529765,200.20847309706076,4.369533989252853,17.5,True
180.0,25.0,24.0,LC5,LEFT,38.05289483022343,510.28828124624977,1.9728293902715386,LC5,LEFT,57.07934224533513,765.4324218693745,1.432611876372492,LC5,95.13223707555855,3.348530532941562,168.2307308662802,5.390189210350504,17.5,True
180.0,25.0,26.0,LC5,LEFT,38.05289483022343,402.64121781026046,2.7676222227076286,LC5,LEFT,57.07934224533513,603.9618267153904,2.0829763035296014,LC5,87.81437268513098,3.7109080773533583,143.34452807541032,6.499597059369689,17.5,True
180.0,25.0,28.0,LC5,LEFT,38.05289483022343,323.40647269124054,3.690691523197482,LC5,LEFT,57.07934224533513,485.1097090368607,2.838307016565025,LC5,81.5419174933359,4.073285621765155,123.59808798338949,7.6977575363104105,17.5,True
180.0,25.0,30.0,LC5,LEFT,38.05289483022343,263.7783604741886,4.751040370684397,LC5,LEFT,57.07934224533513,395.6675407112828,3.705971070188683,LC5,76.10578966044685,4.435663166176952,107.66766775441931,8.984670641172663,17.5,True
180.0,25.0,32.0,LC5,LEFT,38.05289483022343,218.03627249414274,5.957557945046745,LC5,LEFT,57.07934224533513,327.054408741214,4.693242317590439,LC5,71.34917780666892,4.798040710588748,94.6297861122826,10.360336373956452,17.5,True
180.0,25.0,34.0,LC5,LEFT,38.05289483022343,182.35318088166716,7.319021322608096,LC5,LEFT,57.07934224533513,273.5297713225007,5.80730287967316,LC5,67.1521673474531,5.160418255000545,83.82430880534375,11.824754734661777,17.5,True
180.0,25.0,36.0,LC5,LEFT,38.05289483022343,154.10250054994054,8.844097237788692,LC5,LEFT,57.07934224533513,231.15375082491082,7.055244586579892,LC5,63.4214913837057,5.522795799412343,74.76921371834676,13.377925723288632,17.5,True
180.0,25.0,38.0,LC5,LEFT,38.05289483022343,131.44049988961592,10.54134381164086,LC5,LEFT,57.07934224533513,197.16074983442388,8.444070392122734,LC5,60.08351815298435,5.88517334382414,67.105887104555,15.019849339837023,17.5,True
180.0,25.0,40.0,LC5,LEFT,38.05289483022343,113.04687428481225,12.419212247992315,LC5,LEFT,57.07934224533513,169.57031142721831,9.980695761705867,LC5,57.07934224533513,6.247550888235937,60.56306311186087,16.750525584306956,17.5,True
180.0,30.0,22.0,LC5,LEFT,38.05289483022343,751.3746586638762,1.0189661475908554,LC5,LEFT,57.07934224533513,1127.0619879958144,0.6520830440844527,LC5,86.4838518868714,3.7833835862357184,200.20847309706076,4.369533989252853,20.0,True
180.0,30.0,24.0,LC5,LEFT,38.05289483022343,580.3844191071997,1.6137848468323597,LC5,LEFT,57.07934224533513,870.5766286607998,1.1388122983088782,LC5,79.27686422963212,4.2182366395298745,168.2307308662802,5.390189210350504,20.0,True
180.0,30.0,26.0,LC5,LEFT,38.05289483022343,457.77372860849516,2.3138642634894278,LC5,LEFT,57.07934224533513,686.6605929127426,1.711674470937076,LC5,73.1786439042758,4.653089692824031,143.34452807541032,6.499597059369689,20.0,True
180.0,30.0,28.0,LC5,LEFT,38.05289483022343,367.5486469710225,3.1273448086440654,LC5,LEFT,57.07934224533513,551.3229704565337,2.3773307113580535,LC5,67.95159791111325,5.087942746118186,123.59808798338949,7.6977575363104105,20.0,True
180.0,30.0,30.0,LC5,LEFT,38.05289483022343,299.6675830589951,4.062275954290826,LC5,LEFT,57.07934224533513,449.5013745884925,3.142367755170082,LC5,63.4214913837057,5.522795799412343,107.66766775441931,8.984670641172663,20.0,True
180.0,30.0,32.0,LC5,LEFT,38.05289483022343,247.608080654231,5.126617499686509,LC5,LEFT,57.07934224533513,371.41212098134656,4.0132989604114595,LC5,59.4576481722241,5.957648852706498,94.6297861122826,10.360336373956452,20.0,True
180.0,30.0,34.0,LC5,LEFT,38.05289483022343,207.00738935382705,6.32824081659747,LC5,LEFT,57.07934224533513,310.51108403074056,4.9965653265236165,LC5,55.96013945621091,6.392501906000655,83.82430880534375,11.824754734661777,20.0,True
180.0,30.0,36.0,LC5,LEFT,38.05289483022343,174.87172658281466,7.674930073853812,LC5,LEFT,57.07934224533513,262.307589874222,6.0985364963813655,LC5,52.85124281975475,6.827354959294811,74.76921371834676,13.377925723288632,20.0,True
180.0,30.0,38.0,LC5,LEFT,38.05289483022343,149.0999438644988,9.174383441610422,LC5,LEFT,57.07934224533513,223.64991579674822,7.3255117417176905,LC5,50.06959846082029,7.262208012588967,67.105887104555,15.019849339837023,20.0,True
180.0,30.0,40.0,LC5,LEFT,38.05289483022343,128.18764006277743,10.834214275706133,LC5,LEFT,57.07934224533513,192.28146009416614,8.68372093226316,LC5,47.566118537779275,7.697061065883124,60.56306311186087,16.750525584306956,20.0,True
