level,ligament_mm,contact_regime,x_from_root_mm,q_N_per_mm,projected_pressure_MPa
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,35.074999999999996,1425.1739101921341,41.916879711533355
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,35.65,1378.1452158816328,40.53368282004802
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,36.224999999999994,1331.1165215711321,39.15048592856271
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,36.8,1284.0878272606312,37.76728903707739
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,37.375,1237.05913295013,36.384092145592064
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,37.949999999999996,1190.03043863963,35.00089525410676
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,38.525,1143.0017443291285,33.617698362621425
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,39.099999999999994,1095.9730500186283,32.23450147113613
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,39.675,1048.9443557081272,30.8513045796508
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,40.25,1001.9156613976259,29.468107688165468
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,40.824999999999996,954.8869670871256,28.084910796680166
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,41.4,907.8582727766244,26.701713905194836
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,41.974999999999994,860.8295784661241,25.31851701370953
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,42.55,813.800884155623,23.935320122224205
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,43.125,766.7721898451222,22.552123230738886
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,43.699999999999996,719.7434955346214,21.16892633925357
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,44.275,672.7148012241207,19.785729447768258
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,44.849999999999994,625.6861069136199,18.40253255628294
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,45.425,578.6574126031192,17.019335664797623
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,46.0,531.6287182926179,15.636138773312291
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,46.574999999999996,484.6000239821177,14.252941881826992
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,47.15,437.57132967161647,12.86974499034166
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,47.724999999999994,390.54263536111574,11.486548098856346
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,48.3,343.51394105061496,10.103351207371029
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,48.87499999999999,296.48524674011423,8.720154315885713
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,49.449999999999996,249.45655242961348,7.3369574244003966
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,50.025,202.42785811911224,5.953760532915066
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,50.599999999999994,155.399163808612,4.570563641429764
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,51.175,108.37046949811077,3.1873667499444345
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,51.74999999999999,61.341775187610494,1.8041698584591321
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,52.324999999999996,14.313080877109275,0.4209729669738022
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,52.9,0.0,0.0
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,53.474999999999994,0.0,0.0
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,54.05,0.0,0.0
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,54.62499999999999,0.0,0.0
