,ID_mm,wall_mm,OD_mm,A_mm2,I_mm4,J_mm4,mass_per_m_kg,physical_pressure_MPa,virtual_pressure_MPa,limit_governing_case,limit_governing_surface,limit_vm_MPa,MS_limit_yield,ultimate_governing_case,ultimate_governing_surface,ultimate_vm_MPa,MS_ultimate,limit_tau_screen_MPa,MS_limit_shear,ultimate_tau_screen_MPa,MS_ultimate_shear,virtual_vm_MPa,virtual_governing_surface,MS_virtual_vs_yield,PASS
41,64.0,6.0,76.0,1319.4689145077132,814112.3202512588,1628224.6405025176,10.3842203571757,9.292136857325454,10.514733499585716,LC4+,outer,325.94064540277327,3.654221624079452,LC4+,outer,486.9386320808501,2.8238904809073317,13.45050255058226,64.11580924704914,20.175753825873382,52.28307484860712,66.05983398772887,inner,21.964029856354085,True
42,64.0,6.25,76.5,1379.3555244667684,857635.8497672828,1715271.6995345657,10.855527977553468,9.292136857325454,10.514733499585716,LC4+,outer,311.4494552048882,3.8707742930615687,LC4+,outer,465.2854102545182,3.001844800982385,12.86653055372424,67.07121427983931,19.29979583058636,54.70142869218229,63.941718054666055,inner,22.72473005343808,True
43,64.0,6.5,77.0,1439.634833507523,902021.200369557,1804042.400739114,11.329926139704206,9.292136857325454,10.514733499585716,LC4+,outer,298.07357641003574,4.089347463369869,LC4+,outer,445.2986345648407,3.181463529120413,12.327792845050842,70.04599901776255,18.491689267576263,57.13564059374813,61.98860939765972,inner,23.472237960177115,True
44,64.0,6.75,77.5,1500.306841629976,947279.674428526,1894559.348857052,11.80741484362791,9.292136857325454,10.514733499585716,LC4+,outer,285.68933124362263,4.309963775673417,LC4+,outer,426.7935150077796,3.3627654463448438,11.829260193680508,73.04016346081885,17.74389029052076,59.58571055330462,60.18213874093084,inner,24.20681437611096,True
45,64.0,7.0,78.0,1561.3715488341272,993422.6479457133,1986845.2958914265,12.28799408932458,9.292136857325454,10.514733499585716,LC4+,outer,274.1907019953687,4.532645669456812,LC4+,outer,409.6116478108888,3.5457691692880173,11.366621873731486,76.05370760900816,17.04993281059723,62.05163857085176,58.50656177355825,inner,24.928715583584346,True
46,64.0,7.25,78.5,1622.828955119978,1040461.5705537192,2080923.1411074384,12.771663876794229,9.292136857325454,10.514733499585716,LC4+,outer,263.48628638348634,4.757415388944037,LC4+,outer,393.61646638912407,3.730493155129469,10.936161783413525,79.08663146233054,16.404242675120283,64.53342464638958,56.94830655041975,inner,25.6381933351593,True
47,64.0,7.5,79.0,1684.6790604875268,1088407.9655162226,2176815.9310324453,13.258424206036835,9.292136857325454,10.514733499585716,LC4+,outer,253.49686184236293,4.984294988800874,LC4+,outer,378.6896021039328,3.9169557063490936,10.534659340316177,82.13893502078596,15.80198901047426,67.03106877991803,55.49561141331096,inner,26.33549485024934,True
48,64.0,7.75,79.5,1746.921864936775,1137273.4297279797,2274546.8594559594,13.748275077052416,9.292136857325454,10.514733499585716,LC4+,outer,244.15342123489364,5.213306339625419,LC4+,outer,364.7279493861801,4.1051749753032585,10.159309558268266,85.21061828437446,15.2389643374024,69.54457097143715,54.13823299220536,inner,27.020862820151752,True
49,64.0,8.0,80.0,1809.5573684677213,1187069.633714825,2374139.2674296494,14.241216489840966,9.292136857325454,10.514733499585716,LC4+,outer,235.39557686532945,5.444471133235781,LC4+,outer,351.64128114333545,4.295168968631457,9.80765810979956,88.30168125309598,14.711487164699342,72.07393122094692,52.86720895662796,inner,27.694535420709283,True
50,66.0,2.0,70.0,427.256600888212,247167.94361383075,494335.8872276615,3.3625094489902283,9.292136857325454,10.514733499585716,LC4+,outer,990.5012237909906,0.5315478300914325,LC4+,outer,1478.7487592940174,0.2591726541085681,41.53831670032756,20.08511918475877,62.30747505049133,16.25356709383469,176.45868692036288,inner,7.596913115899095,True
