journal_diameter_mm,ligament_mm,centerline_offset_above_boundary_mm,station_above_U_mm,level,case,brace_effective_arm_mm,Mx_kNm,brace_force_abs_kN
22.0,5.0,16.0,514.780356685791,ultimate,LC2B,300.0,4.5036,15.011999999999999
22.0,5.0,16.0,514.780356685791,ultimate,LC3,150.0,4.5036,30.023999999999997
22.0,5.0,16.0,514.780356685791,ultimate,LC3,200.0,4.5036,22.517999999999997
22.0,5.0,16.0,514.780356685791,ultimate,LC3,250.0,4.5036,18.0144
22.0,5.0,16.0,514.780356685791,ultimate,LC3,300.0,4.5036,15.011999999999999
22.0,5.0,16.0,514.780356685791,ultimate,LC4+,150.0,16.56799826213925,110.453321747595
22.0,5.0,16.0,514.780356685791,ultimate,LC4+,200.0,16.56799826213925,82.83999131069623
22.0,5.0,16.0,514.780356685791,ultimate,LC4+,250.0,16.56799826213925,66.271993048557
22.0,5.0,16.0,514.780356685791,ultimate,LC4+,300.0,16.56799826213925,55.2266608737975
22.0,5.0,16.0,514.780356685791,ultimate,LC4-,150.0,-12.574806262139246,83.83204174759497
22.0,5.0,16.0,514.780356685791,ultimate,LC4-,200.0,-12.574806262139246,62.874031310696225
22.0,5.0,16.0,514.780356685791,ultimate,LC4-,250.0,-12.574806262139246,50.299225048556984
22.0,5.0,16.0,514.780356685791,ultimate,LC4-,300.0,-12.574806262139246,41.916020873797486
22.0,5.0,16.0,514.780356685791,ultimate,LC5,150.0,1.9965960000000005,13.310640000000003
22.0,5.0,16.0,514.780356685791,ultimate,LC5,200.0,1.9965960000000005,9.982980000000001
22.0,5.0,16.0,514.780356685791,ultimate,LC5,250.0,1.9965960000000005,7.986384000000002
22.0,5.0,16.0,514.780356685791,ultimate,LC5,300.0,1.9965960000000005,6.6553200000000015
22.0,10.0,21.0,519.780356685791,limit,LC0,150.0,0.894331914893617,5.962212765957447
22.0,10.0,21.0,519.780356685791,limit,LC0,200.0,0.894331914893617,4.4716595744680845
22.0,10.0,21.0,519.780356685791,limit,LC0,250.0,0.894331914893617,3.577327659574468
22.0,10.0,21.0,519.780356685791,limit,LC0,300.0,0.894331914893617,2.9811063829787234
22.0,10.0,21.0,519.780356685791,limit,LC1,150.0,3.0023999999999997,20.016
22.0,10.0,21.0,519.780356685791,limit,LC1,200.0,3.0023999999999997,15.011999999999999
22.0,10.0,21.0,519.780356685791,limit,LC1,250.0,3.0023999999999997,12.009599999999999
22.0,10.0,21.0,519.780356685791,limit,LC1,300.0,3.0023999999999997,10.008
22.0,10.0,21.0,519.780356685791,limit,LC2A,150.0,3.0023999999999997,20.016
22.0,10.0,21.0,519.780356685791,limit,LC2A,200.0,3.0023999999999997,15.011999999999999
22.0,10.0,21.0,519.780356685791,limit,LC2A,250.0,3.0023999999999997,12.009599999999999
22.0,10.0,21.0,519.780356685791,limit,LC2A,300.0,3.0023999999999997,10.008
22.0,10.0,21.0,519.780356685791,limit,LC2B,150.0,3.0023999999999997,20.016
22.0,10.0,21.0,519.780356685791,limit,LC2B,200.0,3.0023999999999997,15.011999999999999
22.0,10.0,21.0,519.780356685791,limit,LC2B,250.0,3.0023999999999997,12.009599999999999
22.0,10.0,21.0,519.780356685791,limit,LC2B,300.0,3.0023999999999997,10.008
